Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1993,1.182,1.172,1.163,1.175,1.193,1.194,1.174,1.163,1.151,1.193,1.178,1.136
1994,1.109,1.114,1.109,1.128,1.143,1.169,1.199,1.243,1.237,1.212,1.222,1.203
1995,1.190,1.181,1.173,1.197,1.256,1.281,1.252,1.222,1.206,1.185,1.161,1.160
1996,1.186,1.181,1.219,1.305,1.378,1.354,1.328,1.298,1.293,1.287,1.308,1.318
1997,1.318,1.312,1.293,1.288,1.284,1.286,1.263,1.310,1.334,1.300,1.271,1.236
1998,1.186,1.137,1.097,1.106,1.146,1.148,1.134,1.108,1.091,1.099,1.086,1.046
1999,1.031,1.014,1.048,1.232,1.233,1.204,1.244,1.309,1.334,1.329,1.319,1.353
2000,1.356,1.422,1.594,1.561,1.552,1.666,1.642,1.559,1.635,1.613,1.608,1.544
2001,1.525,1.538,1.503,1.617,1.812,1.731,1.565,1.509,1.609,1.442,1.324,1.200
2002,1.209,1.210,1.324,1.493,1.508,1.489,1.496,1.508,1.507,1.535,1.534,1.477
2003,1.557,1.686,1.791,1.704,1.587,1.558,1.567,1.671,1.771,1.646,1.578,1.538
2004,1.635,1.715,1.809,1.875,2.050,2.083,1.982,1.941,1.934,2.072,2.053,1.926
2005,1.866,1.960,2.107,2.325,2.257,2.218,2.357,2.548,2.969,2.830,2.387,2.230
2006,2.359,2.354,2.444,2.801,2.993,2.963,3.046,3.033,2.637,2.319,2.287,2.380
2007,2.321,2.333,2.639,2.909,3.176,3.100,3.013,2.833,2.839,2.843,3.118,3.069
2008,3.096,3.083,3.307,3.491,3.813,4.115,4.142,3.838,3.749,3.225,2.208,1.742
2009,1.838,1.979,2.000,2.107,2.314,2.681,2.594,2.677,2.626,2.613,2.709,2.671
2010,2.779,2.709,2.829,2.906,2.915,2.783,2.783,2.795,2.754,2.843,2.899,3.031
2011,3.139,3.215,3.594,3.863,3.982,3.753,3.703,3.680,3.664,3.521,3.475,3.329
2012,3.447,3.622,3.918,3.976,3.839,3.602,3.502,3.759,3.908,3.839,3.542,3.386
2013,3.407,3.748,3.792,3.647,3.682,3.693,3.687,3.658,3.616,3.434,3.310,3.333
2014,3.378,3.422,3.590,3.717,3.745,3.750,3.690,3.540,3.463,3.241,2.945,2.618
2015,2.170,2.308,2.544,2.545,2.832,2.889,2.893,2.745,2.463,2.357,2.249,2.125
2016,2.034,1.833,2.021,2.196,2.324,2.422,2.287,2.218,2.269,2.304,2.246,2.289
2017,2.409,2.360,2.386,2.479,2.448,2.400,2.344,2.436,2.688,2.545,2.608,2.521
2018,2.596,2.632,2.631,2.795,2.963,2.970,2.930,2.919,2.930,2.945,2.733,2.479
2019,2.352,2.412,2.620,2.894,2.963,2.814,2.836,2.716,2.694,2.741,2.687,2.652
2020,2.631,2.530,2.334,1.946,1.946,2.141,2.243,2.245,2.260,2.228,2.159,2.235
